"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Northampton Farm","","R","15264","4.60","2426","6.49","9213","57.6%","55.1%","1577","54.3%","2359","56.8%","3936","55.8%","5264","54.6%","1.2pp"
"TCRI Building","","C","93829","6.22","19288","8.45","98511","76.7%","57.8%","17646","60.3%","26940","60.1%","44586","60.2%","53860","55.8%","4.4pp"
"Turtle Lair","","U","51622","5.21","7106","7.59","31873","68.6%","56.8%","5543","57.0%","7584","57.3%","13127","57.2%","18712","56.5%","0.7pp"
"Path to Exile","W","U","748","2.97","188","","1005","79.9%","54.9%","168","","259","","427","","579","55.4%",""
"Teleportation Circle","W","R","740","3.14","174","","1029","74.1%","57.7%","163","","264","","427","","600","54.5%",""
"Trouble in Pairs","W","R","1151","4.36","161","","296","26.2%","","57","","67","","124","","173","",""
"Brainstorm","U","C","1397","4.61","197","","565","42.9%","56.1%","114","","151","","265","","302","",""
"Cytoplast Manipulator","U","R","920","3.51","204","4.34","847","64.7%","51.8%","143","","233","","376","","474","",""
"Ashcoat of the Shadow Swarm","B","M","1039","4.12","154","","265","26.3%","","51","","61","","112","","156","",""
"Plague of Vermin","B","R","1529","5.28","173","","57","5.1%","","12","","8","","20","","37","",""
"All Will Be One","R","M","1146","4.73","155","","141","13.1%","","21","","30","","51","","90","",""
"Silverclad Ferocidons","R","R","1094","4.04","151","","301","32.2%","","50","","83","","133","","169","",""
"Underworld Breach","R","R","1480","5.24","176","","84","7.5%","","11","","21","","32","","52","",""
"Doubling Season","G","M","876","3.85","125","","285","33.9%","","47","","84","","131","","155","",""
"Rhythm of the Wild","RG","U","1477","5.41","187","","181","16.4%","","24","","46","","70","","111","",""
"Waves of Aggression","WR","R","911","3.73","129","","314","39.0%","","49","","75","","124","","190","",""
"Arcbound Ravager","","R","763","3.15","216","3.69","1112","71.3%","55.9%","193","","306","","499","","600","55.8%",""
"Conqueror's Flail","","R","801","3.20","161","","638","59.6%","49.2%","116","","165","","281","","355","",""
"Metallic Mimic","","R","542","2.27","194","","1244","91.8%","54.0%","237","","322","","559","54.7%","683","53.6%","1.2pp"
"Shadowspear","","R","378","1.93","206","2.07","1563","94.9%","57.0%","270","","418","","688","61.8%","865","53.3%","8.5pp"
"Sword of Sinew and Steel","","M","439","2.09","176","","1100","84.7%","54.3%","217","","309","","526","57.2%","569","51.5%","5.7pp"
"Umezawa's Jitte","","M","274","1.41","239","1.41","2157","98.2%","61.8%","399","","565","68.1%","964","67.7%","1163","56.6%","11.2pp"
"Undercity Sewers","","R","1326","4.34","264","6.16","1092","61.7%","58.3%","216","","303","","519","59.3%","570","57.5%","1.8pp"
