"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Serpent Specialist","G","C","201026","5.80","27133","8.40","117142","67.8%","55.9%","20676","57.6%","28624","55.8%","49300","56.5%","68020","55.4%","1.2pp"
"Shang-Chi, Master of Kung Fu","G","M","7804","2.67","2106","3.02","9646","74.4%","52.9%","1647","54.6%","2295","51.9%","3942","53.0%","5695","52.8%","0.2pp"
"She-Hulk, Jade Defender","G","U","50184","3.42","14280","4.06","81315","87.5%","57.5%","13975","58.3%","20932","61.6%","34907","60.3%","46623","55.5%","4.8pp"
"Super Strength","G","C","231514","8.38","23761","12.32","8570","5.7%","51.3%","1358","47.7%","2094","54.1%","3452","51.6%","5125","51.0%","0.6pp"
"The Thing, Ben Grimm","G","U","69253","4.90","8674","7.28","32705","60.7%","52.8%","5421","50.5%","8076","54.0%","13497","52.6%","19291","52.9%","-0.3pp"
"Tigra, Feline Fury","G","U","80961","5.80","11029","8.46","30163","43.7%","54.0%","5459","54.8%","7172","52.2%","12631","53.3%","17496","54.4%","-1.1pp"
"Training Regimen","G","U","66138","4.78","7826","7.07","28568","58.9%","52.0%","4781","51.7%","6757","52.2%","11538","52.0%","17034","51.9%","0.1pp"
"The Unbeatable Squirrel Girl","G","R","11591","2.11","5646","2.11","31712","87.7%","56.9%","5417","58.0%","8230","60.0%","13647","59.2%","18221","55.1%","4.1pp"
"Undercover Skrull","G","C","138132","3.77","36081","4.67","208240","89.1%","57.3%","38083","62.1%","50720","56.9%","88803","59.1%","119532","56.0%","3.2pp"
"Wakandan Royal Guard","G","C","215805","6.57","27628","9.61","87523","50.2%","55.0%","14474","53.8%","21389","56.6%","35863","55.5%","51631","54.7%","0.8pp"
"White Tiger, Ava Ayala","G","U","56842","3.78","13662","4.76","76705","87.7%","56.4%","13818","56.2%","19097","58.2%","32915","57.4%","43746","55.8%","1.6pp"
"World War Hulk","G","R","15735","2.81","3555","3.15","15580","71.6%","52.1%","2703","50.7%","3602","53.9%","6305","52.5%","9278","51.8%","0.7pp"
"Abomination, Terrifying Titan","RG","U","56101","3.63","11213","4.84","60134","85.2%","55.3%","10254","53.8%","15242","58.3%","25496","56.5%","34900","54.4%","2.1pp"
"Absorbing Man","UG","R","19058","3.37","6162","3.61","28165","71.1%","57.1%","4894","61.5%","7634","59.4%","12528","60.2%","15860","54.5%","5.7pp"
